time,v_c(0),v_c(10),v_c(20),v_c(50),v_c(100),v_c(200),G_i(0),G_i(10),G_i(20),G_i(50),G_i(100),G_i(200),J_w(0),J_w(10),J_w(20),J_w(50),J_w(100),J_w(200),v_c(0)-A,v_c(10)-A,v_c(20)-A,v_c(50)-A,v_c(100)-A,v_c(200)-A,G_i(0)-A,G_i(10)-A,G_i(20)-A,G_i(50)-A,G_i(100)-A,G_i(200)-A,J_w(0)-A,J_w(10)-A,J_w(20)-A,J_w(50)-A,J_w(100)-A,J_w(200)-A,OS_C(0),OS_C(10),OS_C(20),OS_C(50),OS_C(100),OS_C(200),OS_C-A(0),OS_C-A(10),OS_C-A(20),OS_C-A(50),OS_C-A(100),OS_C-A(200),v_c(5),G_i(5),J_w(5),OS_C(5),v_c(5)-A,G_i(5)-A,J_w(5)-A,OS_C-A(5),v_c(80),G_i(80),J_w(80),v_c(80)-A,G_i(80)-A,J_w(80)-A,Na_i(20),Cl_i(20),Na_i(50),Cl_i(50),Na_i(80),Cl_i(80),Na_i(100),Cl_i(100),Na_i(20)-A,Cl_i(20)-A,Na_i(50)-A,Cl_i(50)-A,Na_i(80)-A,Cl_i(80)-A,Na_i(100)-A,Cl_i(100)-A
0,2.00E-15,2.00E-15,2.00E-15,2.00E-15,2.00E-15,2.00E-15,9,9,9,9,9,9,-8.09E-06,7.43E-07,4.12E-07,7.48E-07,1.31E-06,3.47E-06,2.00E-15,2.00E-15,2.00E-15,2.00E-15,2.00E-15,2.00E-15,9,9,9,9,9,9,-8.09E-06,7.43E-07,4.12E-07,7.48E-07,1.31E-06,3.47E-06,299,299,299,299,299,299,299,299,299,299,299,299,2.00E-15,9,6.85E-07,299,2.00E-15,9,6.85E-07,299,2.00E-15,9,1.08E-06,2.00E-15,9,1.08E-06,40,65,40,65,40,65,40,65,40,65,40,65,40,65,40,65
100,2.42E-15,1.90E-15,1.89E-15,1.78E-15,1.59E-15,1.52E-15,5.09171,9.69375,15.3355,21.7074,26.212,15.063,-3.92E-06,4.75E-07,4.62E-08,1.32E-07,2.60E-07,2.06E-06,2.43E-15,1.90E-15,1.86E-15,1.73E-15,1.54E-15,1.51E-15,7.24707,9.59532,10.796,11.9073,13.2468,12.1071,-3.99E-06,4.76E-07,4.62E-08,1.32E-07,2.60E-07,2.09E-06,311.396,317.77,322.143,333.631,353.184,397.824,313.642,317.695,321.338,332.093,351.305,395.751,1.90E-15,8.64279,4.53E-07,315.286,1.90E-15,9.47729,4.43E-07,315.953,1.66E-15,24.7313,2.12E-07,1.61E-15,12.7361,2.12E-07,48.0496,73.1211,47.8052,75.3199,47.5061,77.9548,47.2735,79.7966,48.4557,73.9194,48.6773,77.0509,48.5555,80.1023,48.3945,82.1395
200,2.44E-15,1.83E-15,1.92E-15,1.81E-15,1.60E-15,1.28E-15,2.99357,10.1035,16.8099,25.9518,32.4128,20.1457,-3.58E-06,3.02E-07,5.31E-08,1.37E-07,2.56E-07,1.04E-06,2.48E-15,1.83E-15,1.89E-15,1.73E-15,1.52E-15,1.27E-15,7.00064,9.99475,11.3983,12.8224,14.2989,14.493,-3.66E-06,3.03E-07,5.31E-08,1.37E-07,2.56E-07,1.07E-06,319.608,329.851,337.031,356.371,390.232,469.196,323.101,329.8,335.965,354.351,387.889,467.031,1.84E-15,8.16253,3.01E-07,325.899,1.84E-15,9.77551,2.87E-07,326.912,1.68E-15,30.3213,2.12E-07,1.60E-15,13.7567,2.12E-07,49.9598,73.7026,47.7098,74.6895,45.1416,76.2775,43.3613,77.4731,50.1416,74.5892,48.1584,76.8643,45.6238,79.0566,43.8288,80.541
300,2.43E-15,1.80E-15,1.95E-15,1.83E-15,1.61E-15,1.19E-15,1.48025,10.3212,17.4345,28.3865,36.1951,23.5321,-3.55E-06,1.98E-07,5.84E-08,1.41E-07,2.57E-07,5.84E-07,2.48E-15,1.80E-15,1.90E-15,1.74E-15,1.51E-15,1.18E-15,6.87416,10.2503,11.8422,13.4574,14.9389,15.7011,-3.62E-06,1.98E-07,5.84E-08,1.41E-07,2.57E-07,6.08E-07,325.271,337.114,345.844,369.486,410.495,501.114,328.906,337.115,344.784,367.495,408.34,499.451,1.80E-15,7.65956,2.08E-07,332.455,1.81E-15,9.94565,1.92E-07,333.579,1.70E-15,33.6966,2.14E-07,1.59E-15,14.4157,2.14E-07,51.4893,74.1446,48.1601,74.539,44.2895,75.6276,41.6764,76.5562,51.3466,74.9476,47.8722,76.7652,43.8336,78.5836,41.1215,79.8791
400,2.42E-15,1.78E-15,1.96E-15,1.85E-15,1.63E-15,1.16E-15,0.839518,10.423,17.7411,29.9588,38.7426,25.8338,-3.57E-06,1.39E-07,6.17E-08,1.45E-07,2.59E-07,4.33E-07,2.48E-15,1.78E-15,1.91E-15,1.74E-15,1.51E-15,1.14E-15,6.76653,10.4121,12.1815,13.9163,15.335,16.2375,-3.61E-06,1.38E-07,6.17E-08,1.45E-07,2.59E-07,4.53E-07,329.834,341.298,350.781,376.426,420.051,511.682,332.352,341.345,349.821,374.617,418.186,510.306,1.78E-15,7.20046,1.52E-07,336.387,1.79E-15,10.0337,1.36E-07,337.477,1.72E-15,35.9621,2.17E-07,1.59E-15,14.8547,2.17E-07,52.6537,74.4297,48.7643,74.5499,44.172,75.4318,41.1467,76.2865,52.227,75.1373,47.7526,76.7431,42.8381,78.4724,39.6891,79.777
500,2.41E-15,1.77E-15,1.97E-15,1.87E-15,1.65E-15,1.14E-15,0.735058,10.4604,17.9061,31.0436,40.5789,27.6507,-3.58E-06,1.05E-07,6.39E-08,1.48E-07,2.62E-07,3.89E-07,2.48E-15,1.77E-15,1.92E-15,1.74E-15,1.51E-15,1.12E-15,6.66624,10.5171,12.4447,14.2558,15.5903,16.5284,-3.61E-06,1.04E-07,6.39E-08,1.48E-07,2.62E-07,4.06E-07,332.941,343.649,353.454,379.915,424.216,514.791,334.363,343.727,352.608,378.295,422.571,513.556,1.77E-15,6.81766,1.18E-07,338.723,1.78E-15,10.0728,1.04E-07,339.704,1.73E-15,37.5856,2.20E-07,1.59E-15,15.1565,2.20E-07,53.5115,74.5859,49.363,74.5977,44.3823,75.4165,41.1596,76.2768,52.8654,75.2196,47.727,76.756,42.3282,78.5381,39.0019,79.9301
600,2.41E-15,1.77E-15,1.97E-15,1.88E-15,1.66E-15,1.13E-15,0.725176,10.4646,18.0008,31.8251,41.9731,29.2453,-3.58E-06,8.64E-08,6.53E-08,1.50E-07,2.65E-07,3.75E-07,2.48E-15,1.77E-15,1.92E-15,1.75E-15,1.51E-15,1.10E-15,6.57178,10.5888,12.6502,14.5118,15.7653,16.74,-3.61E-06,8.50E-08,6.53E-08,1.50E-07,2.65E-07,3.92E-07,334.76,344.951,354.868,381.618,425.969,515.708,335.53,345.05,354.123,380.15,424.472,514.558,1.76E-15,6.51857,9.82E-08,340.12,1.78E-15,10.084,8.62E-08,340.963,1.75E-15,38.8059,2.23E-07,1.60E-15,15.372,2.23E-07,54.1273,74.6506,49.8965,74.6392,44.7177,75.4595,41.4011,76.3511,53.3225,75.2353,47.7505,76.7813,42.0969,78.6732,38.7131,80.1685
700,2.41E-15,1.76E-15,1.97E-15,1.89E-15,1.67E-15,1.12E-15,0.724313,10.4533,18.0574,32.4046,43.0732,30.7121,-3.58E-06,7.62E-08,6.61E-08,1.52E-07,2.68E-07,3.71E-07,2.47E-15,1.76E-15,1.92E-15,1.75E-15,1.52E-15,1.09E-15,6.4828,10.6411,12.8109,14.7077,15.8933,16.9233,-3.61E-06,7.46E-08,6.61E-08,1.52E-07,2.68E-07,3.86E-07,335.807,345.667,355.601,382.433,426.702,516.023,336.208,345.775,354.941,381.083,425.31,514.938,1.75E-15,6.29561,8.62E-08,340.965,1.77E-15,10.0796,7.62E-08,341.667,1.76E-15,39.7554,2.25E-07,1.60E-15,15.5318,2.25E-07,54.5576,74.6558,50.3471,74.6619,45.0798,75.5091,41.7194,76.435,53.6446,75.2119,47.7966,76.8075,42.0166,78.8219,38.6235,80.4107
800,2.40E-15,1.76E-15,1.97E-15,1.89E-15,1.68E-15,1.11E-15,0.724225,10.4357,18.0918,32.8427,43.9648,32.0864,-3.58E-06,7.06E-08,6.66E-08,1.53E-07,2.70E-07,3.69E-07,2.47E-15,1.76E-15,1.93E-15,1.75E-15,1.52E-15,1.08E-15,6.39909,10.6821,12.9365,14.8593,15.9923,17.0928,-3.61E-06,6.90E-08,6.66E-08,1.53E-07,2.70E-07,3.83E-07,336.412,346.058,355.974,382.817,427.017,516.183,336.609,346.169,355.381,381.559,425.704,515.152,1.75E-15,6.13518,7.87E-08,341.486,1.77E-15,10.0669,7.05E-08,342.061,1.77E-15,40.5126,2.27E-07,1.61E-15,15.6543,2.27E-07,54.849,74.6252,50.7153,74.6654,45.4233,75.5458,42.0434,76.5011,53.8668,75.1678,47.8497,76.8296,42.013,78.9582,38.6262,80.6235
900,2.40E-15,1.76E-15,1.97E-15,1.90E-15,1.69E-15,1.10E-15,0.72422,10.4169,18.1127,33.1779,44.7008,33.3844,-3.59E-06,6.75E-08,6.69E-08,1.54E-07,2.72E-07,3.67E-07,2.47E-15,1.76E-15,1.93E-15,1.75E-15,1.53E-15,1.06E-15,6.32044,10.7165,13.0343,14.9776,16.0718,17.2524,-3.61E-06,6.60E-08,6.69E-08,1.54E-07,2.72E-07,3.81E-07,336.769,346.272,356.157,382.995,427.165,516.306,336.853,346.381,355.621,381.81,425.915,515.32,1.75E-15,6.0227,7.41E-08,341.814,1.77E-15,10.0501,6.74E-08,342.282,1.77E-15,41.1266,2.28E-07,1.61E-15,15.7506,2.28E-07,55.0382,74.5757,51.0091,74.6537,45.7295,75.5651,42.3427,76.5426,54.0162,75.1148,47.9016,76.846,42.0444,79.0724,38.6666,80.7973
