parameters | time (second),Apical_voltage | v_mc (volt),Basol_voltage | v_sc (volt),Cell_concentration | Cl_i (M),Cell_concentration | glucose_i (M),Cell_concentration | J_w_A (umol_per_s),Cell_concentration | J_w_B (umol_per_s),Cell_concentration | K_i (M),Cell_concentration | Na_i (M),Cell_concentration | pH_int (per_second),Cell_concentration | v_cell (m3)
0,-0.046,-0.05,0.057,0.009,1.18E-07,-2.44E-07,0.105,0.045,7.2,2.00E-15
1,-0.0329173,-0.0457607,0.0571835,0.00870471,9.30E-08,-1.97E-07,0.105325,0.0451154,7.19396,1.99E-15
2,-0.0330116,-0.0459658,0.0573368,0.00841507,7.28E-08,-1.93E-07,0.105594,0.0452317,7.19237,1.99E-15
3,-0.0330165,-0.0459817,0.0574748,0.00812705,5.51E-08,-1.89E-07,0.10584,0.0453397,7.19225,1.98E-15
4,-0.033019,-0.0459851,0.0576009,0.00783924,3.98E-08,-1.85E-07,0.106068,0.0454388,7.1926,1.98E-15
5,-0.0330235,-0.0459898,0.0577168,0.0075514,2.66E-08,-1.82E-07,0.106278,0.0455298,7.19309,1.98E-15
6,-0.0330285,-0.0459952,0.0578239,0.00726368,1.51E-08,-1.79E-07,0.106475,0.0456138,7.19361,1.97E-15
7,-0.0330332,-0.0460005,0.0579234,0.00697635,5.13E-09,-1.77E-07,0.106659,0.0456916,7.19411,1.97E-15
8,-0.0330373,-0.0460053,0.0580162,0.00668975,-3.47E-09,-1.74E-07,0.106832,0.045764,7.19459,1.97E-15
9,-0.0330407,-0.0460094,0.0581031,0.00640418,-1.09E-08,-1.72E-07,0.106996,0.0458316,7.19504,1.96E-15
10,-0.0330434,-0.0460131,0.0581847,0.00611995,-1.73E-08,-1.70E-07,0.107151,0.0458949,7.19547,1.96E-15
11,-0.0330456,-0.0460162,0.0582616,0.0058374,-2.29E-08,-1.68E-07,0.107299,0.0459545,7.19587,1.96E-15
12,-0.0330472,-0.0460188,0.0583344,0.00555681,-2.77E-08,-1.67E-07,0.107441,0.0460106,7.19624,1.96E-15
13,-0.0330484,-0.0460211,0.0584034,0.00527852,-3.19E-08,-1.65E-07,0.107576,0.0460638,7.1966,1.95E-15
14,-0.0330492,-0.046023,0.0584691,0.00500283,-3.55E-08,-1.64E-07,0.107707,0.0461142,7.19694,1.95E-15
15,-0.0330497,-0.0460247,0.0585318,0.00473008,-3.86E-08,-1.62E-07,0.107833,0.0461621,7.19726,1.95E-15
16,-0.0330499,-0.0460261,0.0585916,0.00446061,-4.14E-08,-1.60E-07,0.107954,0.0462077,7.19757,1.95E-15
17,-0.0330499,-0.0460274,0.0586489,0.00419478,-4.37E-08,-1.59E-07,0.108072,0.0462513,7.19787,1.94E-15
18,-0.0330496,-0.0460284,0.0587038,0.00393299,-4.58E-08,-1.57E-07,0.108186,0.0462929,7.19815,1.94E-15
19,-0.0330492,-0.0460294,0.0587564,0.00367564,-4.77E-08,-1.56E-07,0.108297,0.0463327,7.19843,1.94E-15
20,-0.0330487,-0.0460302,0.0588068,0.00342318,-4.93E-08,-1.54E-07,0.108405,0.0463707,7.19869,1.94E-15
21,-0.0330481,-0.046031,0.0588553,0.00317605,-5.08E-08,-1.53E-07,0.108509,0.0464071,7.19894,1.94E-15
22,-0.0330475,-0.0460318,0.0589017,0.00293478,-5.21E-08,-1.51E-07,0.108611,0.0464418,7.19918,1.93E-15
23,-0.0330469,-0.0460326,0.0589461,0.00269988,-5.33E-08,-1.49E-07,0.108709,0.046475,7.19942,1.93E-15
24,-0.0330462,-0.0460334,0.0589887,0.00247192,-5.44E-08,-1.47E-07,0.108805,0.0465066,7.19964,1.93E-15
25,-0.0330457,-0.0460342,0.0590292,0.00225152,-5.54E-08,-1.45E-07,0.108898,0.0465365,7.19986,1.93E-15
26,-0.0330451,-0.0460351,0.0590678,0.00203927,-5.64E-08,-1.43E-07,0.108987,0.0465649,7.20007,1.93E-15
27,-0.0330448,-0.0460361,0.0591044,0.00183581,-5.74E-08,-1.40E-07,0.109074,0.0465917,7.20027,1.93E-15
28,-0.0330445,-0.0460373,0.059139,0.00164186,-5.83E-08,-1.38E-07,0.109157,0.0466168,7.20046,1.92E-15
29,-0.0330444,-0.0460385,0.0591716,0.00145805,-5.93E-08,-1.36E-07,0.109237,0.0466403,7.20064,1.92E-15
30,-0.0330444,-0.0460399,0.059202,0.00128489,-6.03E-08,-1.33E-07,0.109313,0.0466621,7.20081,1.92E-15
31,-0.0330447,-0.0460414,0.0592303,0.00112311,-6.13E-08,-1.31E-07,0.109386,0.0466821,7.20098,1.92E-15
32,-0.0330451,-0.0460431,0.0592565,0.000973289,-6.24E-08,-1.28E-07,0.109455,0.0467004,7.20113,1.92E-15
33,-0.0330457,-0.046045,0.0592805,0.000835922,-6.35E-08,-1.25E-07,0.109521,0.0467169,7.20127,1.92E-15
34,-0.0330465,-0.0460469,0.0593024,0.00071152,-6.47E-08,-1.23E-07,0.109583,0.0467317,7.20141,1.92E-15
35,-0.0330475,-0.046049,0.059322,0.00060048,-6.60E-08,-1.21E-07,0.109641,0.0467448,7.20153,1.92E-15
36,-0.0330487,-0.0460511,0.0593396,0.000503113,-6.75E-08,-1.18E-07,0.109695,0.0467561,7.20164,1.92E-15
37,-0.0330499,-0.0460533,0.0593551,0.000419749,-6.90E-08,-1.16E-07,0.109746,0.0467657,7.20174,1.91E-15
38,-0.0330513,-0.0460555,0.0593685,0.000350327,-7.08E-08,-1.15E-07,0.109793,0.0467737,7.20183,1.91E-15
39,-0.0330528,-0.0460578,0.05938,0.000294577,-7.26E-08,-1.13E-07,0.109837,0.0467801,7.20191,1.91E-15
40,-0.0330543,-0.04606,0.0593896,0.000251551,-7.46E-08,-1.12E-07,0.109878,0.046785,7.20198,1.91E-15
41,-0.0330558,-0.0460621,0.0593973,0.000219782,-7.67E-08,-1.11E-07,0.109915,0.0467884,7.20203,1.91E-15
42,-0.0330573,-0.0460641,0.0594033,0.000197415,-7.88E-08,-1.10E-07,0.109948,0.0467905,7.20208,1.91E-15
43,-0.0330588,-0.046066,0.0594077,0.000182246,-8.08E-08,-1.09E-07,0.109979,0.0467912,7.20212,1.91E-15
44,-0.0330601,-0.0460678,0.0594106,0.000172197,-8.27E-08,-1.09E-07,0.110008,0.0467908,7.20215,1.91E-15
45,-0.0330614,-0.0460694,0.0594122,0.0001658,-8.45E-08,-1.08E-07,0.110034,0.0467893,7.20217,1.91E-15
46,-0.0330625,-0.0460709,0.0594125,0.000161812,-8.61E-08,-1.08E-07,0.110057,0.0467869,7.20218,1.91E-15
47,-0.0330635,-0.0460723,0.0594118,0.000159271,-8.75E-08,-1.07E-07,0.110079,0.0467836,7.20219,1.91E-15
48,-0.0330644,-0.0460736,0.0594102,0.000157663,-8.88E-08,-1.07E-07,0.110099,0.0467796,7.20219,1.91E-15
49,-0.0330652,-0.0460747,0.0594077,0.000156697,-8.99E-08,-1.07E-07,0.110117,0.0467749,7.20219,1.91E-15
50,-0.0330659,-0.0460758,0.0594046,0.000156054,-9.09E-08,-1.07E-07,0.110134,0.0467698,7.20218,1.91E-15
51,-0.0330666,-0.0460768,0.0594008,0.000155747,-9.17E-08,-1.06E-07,0.11015,0.0467641,7.20218,1.91E-15
52,-0.0330672,-0.0460777,0.0593966,0.000155524,-9.25E-08,-1.06E-07,0.110165,0.0467581,7.20216,1.91E-15
53,-0.0330677,-0.0460786,0.0593918,0.000155398,-9.31E-08,-1.06E-07,0.110179,0.0467517,7.20215,1.91E-15
54,-0.0330682,-0.0460795,0.0593868,0.000155317,-9.37E-08,-1.06E-07,0.110192,0.0467451,7.20213,1.91E-15
55,-0.0330686,-0.0460802,0.0593814,0.000155267,-9.41E-08,-1.06E-07,0.110205,0.0467382,7.20211,1.91E-15
56,-0.033069,-0.046081,0.0593757,0.000155236,-9.45E-08,-1.06E-07,0.110217,0.0467311,7.20209,1.91E-15
57,-0.0330693,-0.0460817,0.0593698,0.000155218,-9.49E-08,-1.06E-07,0.110228,0.0467239,7.20207,1.91E-15
58,-0.0330697,-0.0460824,0.0593637,0.000155207,-9.52E-08,-1.06E-07,0.110239,0.0467165,7.20205,1.91E-15
59,-0.03307,-0.0460831,0.0593575,0.0001552,-9.55E-08,-1.06E-07,0.11025,0.046709,7.20202,1.91E-15
60,-0.0330703,-0.0460837,0.0593511,0.000155196,-9.57E-08,-1.06E-07,0.11026,0.0467015,7.202,1.91E-15
61,-0.0330706,-0.0460844,0.0593446,0.000155194,-9.59E-08,-1.06E-07,0.110271,0.0466938,7.20197,1.91E-15
62,-0.0330708,-0.046085,0.059338,0.000155192,-9.61E-08,-1.05E-07,0.11028,0.0466862,7.20195,1.91E-15
63,-0.0330711,-0.0460856,0.0593314,0.000155192,-9.63E-08,-1.05E-07,0.11029,0.0466784,7.20192,1.91E-15
64,-0.0330713,-0.0460862,0.0593246,0.000155191,-9.64E-08,-1.05E-07,0.110299,0.0466707,7.20189,1.90E-15
65,-0.0330715,-0.0460867,0.0593179,0.00015519,-9.65E-08,-1.05E-07,0.110308,0.0466629,7.20187,1.90E-15
66,-0.0330718,-0.0460873,0.0593111,0.000155189,-9.66E-08,-1.05E-07,0.110317,0.0466552,7.20184,1.90E-15
67,-0.033072,-0.0460879,0.0593043,0.000155189,-9.67E-08,-1.05E-07,0.110326,0.0466474,7.20181,1.90E-15
68,-0.0330722,-0.0460884,0.0592974,0.000155188,-9.68E-08,-1.05E-07,0.110335,0.0466396,7.20178,1.90E-15
69,-0.0330724,-0.046089,0.0592906,0.000155188,-9.69E-08,-1.05E-07,0.110344,0.0466319,7.20176,1.90E-15
70,-0.0330726,-0.0460895,0.0592837,0.000155187,-9.69E-08,-1.05E-07,0.110352,0.0466241,7.20173,1.90E-15
71,-0.0330728,-0.0460901,0.0592769,0.000155187,-9.70E-08,-1.05E-07,0.110361,0.0466164,7.2017,1.90E-15
72,-0.033073,-0.0460906,0.05927,0.000155187,-9.71E-08,-1.05E-07,0.110369,0.0466087,7.20167,1.90E-15
73,-0.0330732,-0.0460912,0.0592632,0.000155187,-9.71E-08,-1.05E-07,0.110377,0.0466011,7.20164,1.90E-15
74,-0.0330734,-0.0460917,0.0592564,0.000155187,-9.72E-08,-1.05E-07,0.110386,0.0465934,7.20162,1.90E-15
75,-0.0330736,-0.0460922,0.0592495,0.000155187,-9.72E-08,-1.05E-07,0.110394,0.0465858,7.20159,1.90E-15
76,-0.0330738,-0.0460927,0.0592427,0.000155187,-9.72E-08,-1.05E-07,0.110402,0.0465782,7.20156,1.90E-15
77,-0.0330739,-0.0460933,0.0592359,0.000155187,-9.73E-08,-1.05E-07,0.11041,0.0465707,7.20153,1.90E-15
78,-0.0330741,-0.0460938,0.0592291,0.000155188,-9.73E-08,-1.05E-07,0.110418,0.0465631,7.2015,1.90E-15
79,-0.0330743,-0.0460943,0.0592224,0.000155188,-9.73E-08,-1.05E-07,0.110426,0.0465557,7.20148,1.90E-15
80,-0.0330745,-0.0460948,0.0592156,0.000155188,-9.74E-08,-1.05E-07,0.110433,0.0465482,7.20145,1.90E-15
