time,v_c(20),v_c(50),v_c(80),v_c(100),G_i(20),G_i(50),G_i(80),G_i(100),Na_i(20),Na_i(50),Na_i(80),Na_i(100),Cl_i(20),Cl_i(50),Cl_i(80),Cl_i(100),J_W_A(20),J_W_A(50),J_W_A(80),J_W_A(100),Cl_i(20)-A,Cl_i(50)-A,Cl_i(80)-A,Cl_i(100)-A,Na_i(20)-A,Na_i(50)-A,Na_i(80)-A,Na_i(100)-A,G_i(20)-A,G_i(50)-A,G_i(80)-A,G_i(100)-A,v_c(20)-A,v_c(50)-A,v_c(80)-A,v_c(100)-A,J_W_A(20)-A,J_W_A(50)-A,J_W_A(80)-A,J_W_A(100)-A
0,2.00E-15,2.00E-15,2.00E-15,2.00E-15,9,9,9,9,45,45,45,45,57,57,57,57,4.32E-06,9.58E-07,2.22E-06,-2.44E-07,57,57,57,57,45,45,45,45,9,9,9,9,2.00E-15,2.00E-15,2.00E-15,2.00E-15,4.32E-06,9.58E-07,2.22E-06,3.48E-06
100,1.56E-15,1.91E-15,1.78E-15,1.65E-15,26.1715,15.1045,21.3737,24.54,52.6466,49.0125,50.1997,51.6463,67.0373,60.8877,62.9298,65.3558,5.68E-07,-3.41E-09,2.20E-07,4.37E-07,68.8534,61.5503,64.3365,67.0525,54.3695,49.6432,51.5336,53.2553,13.9834,10.7213,12.0418,13.2088,1.51E-15,1.88E-15,1.73E-15,1.59E-15,5.86E-07,5.04E-09,2.37E-07,4.52E-07
200,1.56E-15,1.93E-15,1.79E-15,1.65E-15,32.4766,16.5795,25.5452,30.1366,49.9027,49.6834,49.5829,49.7615,63.5528,61.0319,61.749,62.8075,5.69E-07,1.79E-09,2.25E-07,4.38E-07,65.3976,61.6287,63.1798,64.5425,52.1066,50.417,51.2802,51.8241,15.5058,11.4037,13.1029,14.549,1.48E-15,1.89E-15,1.72E-15,1.57E-15,5.82E-07,6.72E-09,2.37E-07,4.49E-07
300,1.56E-15,1.94E-15,1.80E-15,1.65E-15,36.2816,17.1414,27.8295,33.4367,48.6494,50.1949,49.4052,48.9287,61.5831,61.2236,61.2063,61.4186,5.68E-07,4.11E-09,2.27E-07,4.39E-07,62.958,61.6298,62.3104,62.7399,51.0561,50.9426,51.2498,51.1838,16.4724,11.8528,13.7933,15.408,1.46E-15,1.89E-15,1.71E-15,1.55E-15,5.79E-07,7.76E-09,2.36E-07,4.47E-07
400,1.56E-15,1.94E-15,1.81E-15,1.66E-15,38.7931,17.379,29.2168,35.5771,48.1535,50.5524,49.3924,48.6053,60.4439,61.3749,60.9547,60.6389,5.68E-07,5.36E-09,2.28E-07,4.39E-07,61.2043,61.5868,61.633,61.4116,50.7343,51.3092,51.3424,51.0135,17.0933,12.1567,14.2544,15.9685,1.44E-15,1.90E-15,1.70E-15,1.54E-15,5.77E-07,8.41E-09,2.36E-07,4.46E-07
500,1.56E-15,1.95E-15,1.82E-15,1.66E-15,40.5379,17.4858,30.1056,37.0397,48.02,50.7952,49.4359,48.52,59.7671,61.4792,60.8469,60.1929,5.68E-07,6.07E-09,2.28E-07,4.40E-07,59.8996,61.5199,61.0883,60.3991,50.8122,51.5723,51.4986,51.1037,17.4948,12.3656,14.5665,16.3376,1.43E-15,1.90E-15,1.70E-15,1.52E-15,5.76E-07,8.83E-09,2.35E-07,4.45E-07
600,1.56E-15,1.95E-15,1.82E-15,1.67E-15,41.7938,17.5363,30.6941,38.0743,48.0458,50.9584,49.4907,48.5375,59.3517,61.546,60.8121,59.9341,5.69E-07,6.50E-09,2.29E-07,4.40E-07,58.8909,61.4416,60.638,59.5999,51.0899,51.7665,51.6832,51.327,17.7555,12.5106,14.7794,16.5822,1.42E-15,1.90E-15,1.69E-15,1.52E-15,5.76E-07,9.10E-09,2.35E-07,4.45E-07
700,1.57E-15,1.95E-15,1.83E-15,1.67E-15,42.7221,17.5614,31.0927,38.8246,48.1312,51.0681,49.5393,48.5923,59.0874,61.586,60.8143,59.7828,5.69E-07,6.76E-09,2.29E-07,4.40E-07,58.0833,61.3594,60.2576,58.9494,51.4546,51.9141,51.8761,51.6099,17.9244,12.6118,14.9253,16.7442,1.41E-15,1.90E-15,1.69E-15,1.51E-15,5.75E-07,9.27E-09,2.35E-07,4.45E-07
800,1.57E-15,1.95E-15,1.83E-15,1.67E-15,43.4218,17.5742,31.3673,39.3787,48.23,51.1422,49.5764,48.6542,58.9139,61.6079,60.8349,59.6948,5.69E-07,6.92E-09,2.30E-07,4.40E-07,57.4185,61.2777,59.9308,58.407,51.845,52.0297,52.0661,51.9115,18.0331,12.6826,15.0252,16.851,1.40E-15,1.89E-15,1.68E-15,1.50E-15,5.75E-07,9.38E-09,2.35E-07,4.45E-07
900,1.57E-15,1.95E-15,1.83E-15,1.67E-15,43.9561,17.5813,31.5584,39.7936,48.3232,51.1928,49.6018,48.7103,58.7975,61.6181,60.8643,59.6449,5.69E-07,7.02E-09,2.30E-07,4.40E-07,56.8603,61.1988,59.6463,57.9464,52.2294,52.1226,52.2472,52.2095,18.1018,12.732,15.0933,16.9207,1.40E-15,1.89E-15,1.68E-15,1.50E-15,5.75E-07,9.44E-09,2.35E-07,4.44E-07
1000,1.57E-15,1.95E-15,1.83E-15,1.68E-15,44.3687,17.5852,31.6927,40.1077,48.4032,51.228,49.617,48.7563,58.718,61.621,60.897,59.6185,5.70E-07,7.09E-09,2.30E-07,4.40E-07,56.385,61.1242,59.3965,57.5503,52.5923,52.1993,52.4167,52.4926,18.144,12.7666,15.1394,16.9653,1.39E-15,1.89E-15,1.67E-15,1.49E-15,5.75E-07,9.48E-09,2.35E-07,4.44E-07
1100,1.57E-15,1.95E-15,1.84E-15,1.68E-15,44.6898,17.5875,31.7879,40.3473,48.4685,51.2529,49.6241,48.7916,58.6632,61.6193,60.9301,59.6069,5.70E-07,7.13E-09,2.30E-07,4.40E-07,55.9768,61.0545,59.1758,57.2067,52.9269,52.2639,52.5735,52.7556,18.1684,12.7907,15.1702,16.9929,1.39E-15,1.89E-15,1.67E-15,1.49E-15,5.75E-07,9.50E-09,2.35E-07,4.44E-07
1200,1.58E-15,1.95E-15,1.84E-15,1.68E-15,44.9414,17.5889,31.8559,40.5312,48.5201,51.2711,49.6252,48.8174,58.6255,61.6149,60.9623,59.6048,5.70E-07,7.15E-09,2.30E-07,4.40E-07,55.6241,60.9899,58.9799,56.9071,53.2311,52.3194,52.7173,52.9966,18.1811,12.8075,15.1904,17.009,1.38E-15,1.89E-15,1.67E-15,1.49E-15,5.75E-07,9.52E-09,2.35E-07,4.44E-07
1300,1.58E-15,1.95E-15,1.84E-15,1.68E-15,45.1394,17.5897,31.9047,40.6731,48.56,51.2847,49.6221,48.8353,58.5998,61.6091,60.9928,59.6087,5.70E-07,7.17E-09,2.30E-07,4.40E-07,55.3182,60.9303,58.8053,56.6445,53.5053,52.3677,52.8486,53.2153,18.1862,12.8191,15.2034,17.0175,1.38E-15,1.89E-15,1.67E-15,1.48E-15,5.75E-07,9.52E-09,2.35E-07,4.44E-07
1400,1.58E-15,1.95E-15,1.84E-15,1.68E-15,45.2958,17.59,31.9399,40.783,48.5902,51.2952,49.6161,48.8468,58.5829,61.6026,61.0213,59.6164,5.70E-07,7.17E-09,2.30E-07,4.40E-07,55.0524,60.8754,58.6495,56.4139,53.7508,52.4103,52.968,53.4128,18.1863,12.827,15.2113,17.0209,1.38E-15,1.89E-15,1.66E-15,1.48E-15,5.75E-07,9.52E-09,2.35E-07,4.44E-07
1500,1.58E-15,1.95E-15,1.84E-15,1.68E-15,45.4197,17.5903,31.9653,40.8685,48.6127,51.3035,49.6082,48.8534,58.5723,61.5958,61.0478,59.6264,5.70E-07,7.18E-09,2.30E-07,4.40E-07,54.8209,60.8252,58.5101,56.2112,53.9696,52.4482,53.0763,53.5904,18.1835,12.8324,15.2159,17.0211,1.38E-15,1.89E-15,1.66E-15,1.48E-15,5.75E-07,9.52E-09,2.35E-07,4.44E-07
1600,1.58E-15,1.95E-15,1.84E-15,1.68E-15,45.5182,17.5905,31.9839,40.9352,48.629,51.3104,49.5992,48.8564,58.5663,61.5892,61.0723,59.6378,5.70E-07,7.18E-09,2.30E-07,4.40E-07,54.6191,60.7792,58.3854,56.0325,54.1639,52.4821,53.1744,53.7494,18.179,12.836,15.218,17.0193,1.37E-15,1.89E-15,1.66E-15,1.48E-15,5.75E-07,9.51E-09,2.35E-07,4.44E-07
1700,1.58E-15,1.95E-15,1.84E-15,1.68E-15,45.5965,17.5906,31.9976,40.9873,48.6406,51.3162,49.5898,48.8566,58.5637,61.5828,61.0948,59.6499,5.70E-07,7.18E-09,2.30E-07,4.40E-07,54.4431,60.7371,58.2737,55.8752,54.336,52.5126,53.2631,53.8917,18.1736,12.8384,15.2186,17.0163,1.37E-15,1.89E-15,1.66E-15,1.47E-15,5.75E-07,9.51E-09,2.35E-07,4.44E-07
1800,1.58E-15,1.95E-15,1.84E-15,1.68E-15,45.659,17.5906,32.0079,41.0282,48.6486,51.3212,49.5801,48.8549,58.5635,61.5767,61.1155,59.6621,5.70E-07,7.18E-09,2.30E-07,4.40E-07,54.2896,60.6986,58.1737,55.7366,54.4884,52.5402,53.3433,54.0187,18.1678,12.84,15.2182,17.0126,1.37E-15,1.89E-15,1.66E-15,1.47E-15,5.75E-07,9.50E-09,2.35E-07,4.44E-07
1900,1.58E-15,1.95E-15,1.84E-15,1.68E-15,45.709,17.5906,32.0158,41.0602,48.6537,51.3255,49.5706,48.8519,58.565,61.571,61.1344,59.6743,5.70E-07,7.18E-09,2.30E-07,4.40E-07,54.1557,60.6635,58.084,55.6143,54.623,52.5653,53.4157,54.1318,18.1621,12.841,15.2173,17.0087,1.37E-15,1.88E-15,1.65E-15,1.47E-15,5.75E-07,9.49E-09,2.35E-07,4.44E-07
2000,1.58E-15,1.95E-15,1.84E-15,1.68E-15,45.749,17.5905,32.0218,41.0854,48.6567,51.3294,49.5614,48.848,58.5678,61.5657,61.1518,59.6862,5.70E-07,7.18E-09,2.30E-07,4.40E-07,54.0388,60.6315,58.0037,55.5066,54.7416,52.5881,53.481,54.2324,18.1565,12.8418,15.2159,17.0047,1.37E-15,1.88E-15,1.65E-15,1.47E-15,5.75E-07,9.49E-09,2.35E-07,4.44E-07
