time,v_c(130),v_c(100),v_c(70),v_c(40),G_i(130),G_i(100),G_i(70),G_i(40),Na_i(130),Na_i(100),Na_i(70),Na_i(40),Cl_i(130),Cl_i(100),Cl_i(70),Cl_i(40),J_W_A(130),J_W_A(100),J_W_A(70),J_W_A(40),Cl_i(130)-A,Cl_i(100)-A,Cl_i(70)-A,Cl_i(40)-A,Na_i(130)-A,Na_i(100)-A,Na_i(70)-A,Na_i(40)-A,G_i(130)-A,G_i(100)-A,G_i(70)-A,G_i(40)-A,v_c(130)-A,v_c(100)-A,v_c(70)-A,v_c(40)-A,J_W_A(130)-A,J_W_A(100)-A,J_W_A(70)-A,J_W_A(40)-A
0,2.00E-15,2.00E-15,2.00E-15,2.00E-15,9,9,9,9,45,45,45,45,57,57,57,57,-1.44E-06,-3.96E-06,-6.48E-06,-9.00E-06,57,57,57,57,45,45,45,45,9,9,9,9,2.00E-15,2.00E-15,2.00E-15,2.00E-15,-1.44E-06,-3.96E-06,-6.48E-06,-9.00E-06
1,2.02E-15,2.06E-15,2.11E-15,2.15E-15,8.74847,8.56526,8.38679,8.21262,44.5294,43.5512,42.5758,41.5677,56.3968,55.0957,53.7362,52.1274,-1.30E-06,-3.55E-06,-5.81E-06,-8.07E-06,56.3946,55.0936,53.7343,52.1256,44.5276,43.5496,42.5743,41.5662,8.889,8.7021,8.52007,8.34243,2.02E-15,2.06E-15,2.11E-15,2.15E-15,-1.30E-06,-3.56E-06,-5.81E-06,-8.07E-06
2,2.04E-15,2.12E-15,2.20E-15,2.28E-15,8.52458,8.19986,7.89235,7.6004,44.1405,42.3612,40.6295,38.8758,55.9021,53.5998,51.2987,48.7535,-1.18E-06,-3.21E-06,-5.27E-06,-7.35E-06,55.8947,53.5931,51.2927,48.7483,44.1345,42.3558,40.6247,38.8715,8.7998,8.46178,8.14176,7.83798,2.04E-15,2.12E-15,2.20E-15,2.28E-15,-1.19E-06,-3.22E-06,-5.28E-06,-7.36E-06
3,2.05E-15,2.17E-15,2.28E-15,2.40E-15,8.31997,7.88431,7.48071,7.10596,43.8143,41.3701,39.0355,36.7058,55.4869,52.367,49.3409,46.1405,-1.08E-06,-2.93E-06,-4.83E-06,-6.77E-06,55.4721,52.3542,49.3299,46.1312,43.8022,41.3597,39.0266,36.6981,8.72492,8.26199,7.83334,7.4354,2.05E-15,2.17E-15,2.28E-15,2.40E-15,-1.09E-06,-2.95E-06,-4.85E-06,-6.78E-06
4,2.07E-15,2.21E-15,2.35E-15,2.50E-15,8.13022,7.60682,7.1302,6.69545,43.5394,40.5359,37.7074,34.9141,55.1358,51.3307,47.716,44.0035,-9.93E-07,-2.70E-06,-4.47E-06,-6.29E-06,55.1118,51.3107,47.6994,43.9899,43.5199,40.5197,37.6938,34.9029,8.66055,8.09267,7.5759,7.10466,2.07E-15,2.21E-15,2.35E-15,2.50E-15,-1.01E-06,-2.71E-06,-4.48E-06,-6.31E-06
5,2.08E-15,2.24E-15,2.42E-15,2.60E-15,7.95267,7.35963,6.82673,6.34765,43.3077,39.828,36.5852,33.4065,54.8382,50.4501,46.3432,42.2077,-9.19E-07,-2.49E-06,-4.16E-06,-5.89E-06,54.8036,50.4221,46.3206,42.1897,43.2796,39.8052,36.5668,33.3917,8.6045,7.94727,7.35727,6.82705,2.08E-15,2.25E-15,2.42E-15,2.60E-15,-9.38E-07,-2.51E-06,-4.18E-06,-5.91E-06
6,2.09E-15,2.28E-15,2.48E-15,2.68E-15,7.78549,7.13717,6.56056,6.04832,43.1126,39.223,35.6262,32.1182,54.5857,49.6962,45.1691,40.6729,-8.54E-07,-2.32E-06,-3.89E-06,-5.55E-06,54.5395,49.6597,45.1402,40.6505,43.0749,39.1932,35.6027,32.0998,8.55531,7.82117,7.1691,6.59011,2.09E-15,2.28E-15,2.48E-15,2.68E-15,-8.76E-07,-2.34E-06,-3.91E-06,-5.57E-06
7,2.10E-15,2.31E-15,2.53E-15,2.76E-15,7.62731,6.93529,6.32464,5.78751,42.9485,38.7031,34.7987,31.0035,54.3718,49.047,44.1552,39.3445,-7.98E-07,-2.17E-06,-3.67E-06,-5.26E-06,54.313,49.0015,44.12,39.3178,42.9006,38.666,34.7701,30.9817,8.51189,7.71092,7.00535,6.38515,2.10E-15,2.31E-15,2.53E-15,2.76E-15,-8.22E-07,-2.19E-06,-3.69E-06,-5.28E-06
8,2.10E-15,2.33E-15,2.58E-15,2.83E-15,7.47704,6.7508,6.11371,5.55796,42.811,38.2542,34.079,30.0289,54.1907,48.4852,43.2726,38.1829,-7.50E-07,-2.04E-06,-3.47E-06,-5.00E-06,54.1185,48.4303,43.231,38.1521,42.7521,38.2095,34.0452,30.0037,8.47337,7.61386,6.86155,6.20589,2.11E-15,2.34E-15,2.58E-15,2.84E-15,-7.76E-07,-2.06E-06,-3.49E-06,-5.02E-06
9,2.11E-15,2.36E-15,2.62E-15,2.90E-15,7.33379,6.58116,5.92374,5.35423,42.6961,37.8651,33.449,29.1693,54.0377,47.9971,42.4992,37.1585,-7.08E-07,-1.92E-06,-3.29E-06,-4.78E-06,53.9515,47.9326,42.4512,37.1236,42.6259,37.8126,33.41,29.1409,8.43904,7.52791,6.73428,6.04761,2.11E-15,2.36E-15,2.62E-15,2.90E-15,-7.35E-07,-1.95E-06,-3.31E-06,-4.80E-06
10,2.12E-15,2.38E-15,2.66E-15,2.96E-15,7.19685,6.42436,5.75156,5.17215,42.6007,37.527,32.8942,28.4055,53.9088,47.5715,41.8176,36.2483,-6.72E-07,-1.82E-06,-3.14E-06,-4.58E-06,53.8082,47.4973,41.7632,36.2096,42.5187,37.4665,32.8501,28.374,8.40832,7.45138,6.62086,5.90674,2.12E-15,2.38E-15,2.66E-15,2.97E-15,-7.00E-07,-1.85E-06,-3.16E-06,-4.60E-06
